AN_BASE;NM_GRANDE_AREA_CONHECIMENTO;NM_AREA_CONHECIMENTO;NM_SUBAREA_CONHECIMENTO;NM_ESPECIALIDADE;CD_AREA_AVALIACAO;NM_AREA_AVALIACAO;CD_ENTIDADE_CAPES;CD_ENTIDADE_EMEC;SG_ENTIDADE_ENSINO;NM_ENTIDADE_ENSINO;CS_STATUS_JURIDICO;DS_DEPENDENCIA_ADMINISTRATIVA;DS_ORGANIZACAO_ACADEMICA;NM_REGIAO;SG_UF_PROGRAMA;NM_MUNICIPIO_PROGRAMA_IES;CD_PROGRAMA_IES;NM_PROGRAMA_IES;CD_CURSO_PPG;NM_CURSO;NM_GRAU_CURSO;CD_CONCEITO_CURSO;AN_INICIO_PREVISTO;DS_SITUACAO_CURSO;DT_SITUACAO_CURSO;ID_ADD_FOTO_PROGRAMA_IES;ID_ADD_FOTO_PROGRAMA
2024;CIÊNCIAS HUMANAS;SOCIOLOGIA;NÃO SE APLICA;NÃO SE APLICA;34;SOCIOLOGIA;31002013;574;UFRRJ;UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO;FEDERAL;PÚBLICA;UNIVERSIDADE;SUDESTE;RJ;SEROPÉDICA;31002013025P7;CIÊNCIAS SOCIAIS;31002013025D8;DOUTORADO EM CIÊNCIAS SOCIAIS;DOUTORADO;4;2019;EM FUNCIONAMENTO;04MAR2019:00:00:00;266443;199622
2024;CIÊNCIAS DA SAÚDE;MEDICINA;CLÍNICA MÉDICA;NÃO SE APLICA;15;MEDICINA I;33003017;54;UNICAMP;UNIVERSIDADE ESTADUAL DE CAMPINAS;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;CAMPINAS;33003017023P6;CIÊNCIAS MÉDICAS;33003017023D7;CIÊNCIAS MÉDICAS;DOUTORADO;5;1979;EM FUNCIONAMENTO;18SEP2012:00:00:00;262678;197367
2024;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS, CULTURAS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;33002010;55;USP;UNIVERSIDADE DE SÃO PAULO;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;SP;SÃO PAULO;33002010210P4;CULTURAS E IDENTIDADES BRASILEIRAS;33002010210M4;CULTURAS E IDENTIDADES BRASILEIRAS;MESTRADO;4;2009;EM FUNCIONAMENTO;03MAR2017:00:00:00;261011;196420
2024;MULTIDISCIPLINAR;INTERDISCIPLINAR;SOCIAIS, CULTURAS E HUMANIDADES;NÃO SE APLICA;45;INTERDISCIPLINAR;28001010;578;UFBA;UNIVERSIDADE FEDERAL DA BAHIA;FEDERAL;PÚBLICA;UNIVERSIDADE;NORDESTE;BA;SALVADOR;28001010056P8;ESTUDOS INTERDISCIPLINARES SOBRE MULHERES, GÊNERO E FEMINISMO;28001010056M8;ESTUDOS INTERDISCIPLINARES SOBRE MULHERES,GÊNERO E FEMINISMO;MESTRADO;4;2006;EM FUNCIONAMENTO;18SEP2012:00:00:00;261786;196907
2024;CIÊNCIAS AGRÁRIAS;AGRONOMIA;FITOTECNIA;NÃO SE APLICA;42;CIÊNCIAS AGRÁRIAS I;40006018;588;UTFPR;UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;SUL;PR;PATO BRANCO;40006018005P7;AGRONOMIA;40006018005M7;AGRONOMIA;MESTRADO;4;2007;EM FUNCIONAMENTO;26MAR2019:00:00:00;264373;198289
2024;CIÊNCIAS DA SAÚDE;SAÚDE COLETIVA;SAÚDE PÚBLICA;NÃO SE APLICA;22;SAÚDE COLETIVA;31010016;20342;FIOCRUZ;FUNDAÇÃO OSWALDO CRUZ (FIOCRUZ);FEDERAL;PÚBLICA;ESCOLA DE GOVERNO;SUDESTE;RJ;RIO DE JANEIRO;31010016005P5;SAÚDE DA CRIANÇA E DA MULHER;31010016005D6;SAÚDE DA CRIANÇA E DA MULHER;DOUTORADO;6;1996;EM FUNCIONAMENTO;26MAR2018:00:00:00;263347;197771
2024;CIÊNCIAS HUMANAS;ANTROPOLOGIA;NÃO SE APLICA;NÃO SE APLICA;35;ANTROPOLOGIA / ARQUEOLOGIA;15010015;15059;UFOPA;UNIVERSIDADE FEDERAL DO OESTE DO PARÁ;FEDERAL;PÚBLICA;UNIVERSIDADE;NORTE;PA;SANTARÉM;15010015075P8;ANTROPOLOGIA E ARQUEOLOGIA;15010015075M8;ANTROPOLOGIA E ARQUEOLOGIA;MESTRADO;A;2024;EM FUNCIONAMENTO;08AUG2024:00:00:00;264681;198567
2024;CIÊNCIAS DA SAÚDE;SAÚDE COLETIVA;NÃO SE APLICA;NÃO SE APLICA;22;SAÚDE COLETIVA;28002016;666;UEFS;UNIVERSIDADE ESTADUAL DE FEIRA DE SANTANA;ESTADUAL;PÚBLICA;UNIVERSIDADE;NORDESTE;BA;FEIRA DE SANTANA;28002016004P0;SAÚDE COLETIVA;28002016004M0;SAÚDE COLETIVA;MESTRADO;5;2003;EM FUNCIONAMENTO;18SEP2012:00:00:00;264695;198581
2024;CIÊNCIAS HUMANAS;GEOGRAFIA;NÃO SE APLICA;NÃO SE APLICA;36;GEOGRAFIA;52060004;25282;UFJ;UNIVERSIDADE FEDERAL DE JATAÍ;FEDERAL;PÚBLICA;UNIVERSIDADE;CENTRO-OESTE;GO;JATAÍ;52060004005P8;GEOGRAFIA;52060004005D9;GEOGRAFIA;DOUTORADO;4;2009;EM FUNCIONAMENTO;20DEC2021:00:00:00;264538;198432
2024;LINGÜÍSTICA, LETRAS E ARTES;ARTES;NÃO SE APLICA;NÃO SE APLICA;11;ARTES;32025017;1036;UEMG;UNIVERSIDADE DO ESTADO DE MINAS GERAIS;ESTADUAL;PÚBLICA;UNIVERSIDADE;SUDESTE;MG;BELO HORIZONTE;32025017003P9;ARTES;32025017003M9;ARTES;MESTRADO;4;2015;EM FUNCIONAMENTO;19AUG2015:00:00:00;261347;196615
